mk,sq,es,en
Шпат Абдии,Shpat Abdii,Shpat Abdii,Shpat Abdii
Шпенд Асани,Shpend Asani,Shpend Asani,Shpend Asani
Шпенд Фејзулаи,Shpend Fejzulai,Shpend Fejzulai,Shpend Fejzulai
Шпетим Исени,Shpetim Iseni,Shpetim Iseni,Shpetim Iseni
Шпетим Каба,Shpetim Kaba,Shpetim Kaba,Shpetim Kaba
Шпетим Черими,Shpetim Qerimi,Shpetim Qerimi,Shpetim Qerimi
Шптим Весели,Shptim Veseli,Shptim Veseli,Shptim Veseli
Шуајб Јашари,Shuajb Jashari,Shuajb Jashari,Shuajb Jashari
Шуајб Алити,Shuajb Aliti,Shuajb Aliti,Shuajb Aliti
Шуајб Бајрами,Shuajb Bajrami,Shuajb Bajrami,Shuajb Bajrami
Шуајб Мустафи,Shuajb Mustafi,Shuajb Mustafi,Shuajb Mustafi
Шуајб Халили,Shuajb Halili,Shuajb Halili,Shuajb Halili
Шуајб Шукрија,Shuajb Shukrija,Shuajb Shukrija,Shuajb Shukrija
Шуип Хисмани,Shuip Hismani,Shuip Hismani,Shuip Hismani
Шукри Љиварека,Shukri Livareka,Shukri Livareka,Shukri Livareka
Шќиприм Руфати,Shqiprim Rufati,Shqiprim Rufati,Shqiprim Rufati
Јосе Карлос Кабаркас Перез,José Carlos Cabarcas Pérez, José Carlos Cabarcas Pérez, José Carlos Cabarcas Pérez
Мигел Анџело Фереира Пирес,Miguel Angelo Ferreira Pires,Miguel Angelo Ferreira Pires,Miguel Angelo Ferreira Pires
